"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"
pgc|l|b|sgL|sgB|absB|Diam|BAratio|PA|T|V_GSR|Dist|sgX|sgY|sgZ|objname|GrpID|Filament|al1950|de1950
%7s|%9.4f|%9.4f|%9.4f|%9.4f|%7.2f|%6.2f|%5.2f|%5d|%3d|%7d|%7d|%7d|%7d|%7d|%14s|%5d|%5s|%9.4f|%9.4f
---|deg|deg|deg|deg|mag|kpc||deg||km/s|km/s|km/s|km/s|km/s||||h|deg
"The Catalogue of Principal Galaxies (PGC) Number"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Absolute magnitude at distance in km/s / 100"|"Intrinsic diameter in kpc at distance in km/s / 100"|"Ratio minor to major axis diameters"|"Position angle on sky N through E"|"Morphological type; see RC3"|"Velocity in Galactic standard of rest; see RC3"|"Distance in km/s; flow model within 3000 km/s"|"SGX component of distance"|"SGY component of distance"|"SGZ component of distance"|"Common name"|"Internal group identifier"|"Internal filament identifier"|"Right Ascension (B1950)"|"Declination (B1950)"
59894|68.9402|35.4362|58.7106|54.7778|-21.08|37.40|1.00||-5|8463|8463|2535|4171|6914|"NGC    6329"||587.0|17.2121|43.7403
59895|71.4702|35.5927|56.2407|53.3073|-19.51|17.58|0.76|||8313|8313|2760|4130|6666|"CGCG 252- 29"||587.0|17.2146|45.8053
59899|44.8041|31.0165|95.2456|65.1866|-19.22|18.91||||8773|8773|-337|3666|7963|"CGCG 140-  2"||568.0|17.2042|23.1278
59900|41.7913|30.0800|101.7803|65.6672|-19.92|20.39|0.95||3|6367|6367|-536|2568|5801|"NGC    6321"||250.0|17.2042|20.3694
59905|74.7315|35.6909|53.2820|51.3663|-19.41|19.59|0.85|||8845|8845|3302|4427|6909|"MCG  8-31- 36"||587.0|17.2203|48.4567
59906|66.1790|35.1216|61.5437|56.3958|-19.26|16.06|0.40|140|5|8326|8326|2196|4051|6934|"MCG  7-35- 53"||587.0|17.2167|41.4650
59908|103.7256|33.0225|35.0973|31.4466|-15.48|8.15|0.89||8|1521|1569|1095|769|818|"UGC   10791"||44.0|17.2588|72.4519
59912|67.9415|35.2737|59.6453|55.4134|-19.18|14.68|0.87|||8343|8343|2393|4087|6868|"CGCG 225- 79"||587.0|17.2188|42.9131
59920|27.3277|24.2708|134.8304|63.6952|-18.73|14.81||||6703|6703|-2094|2107|6009|"CGCG  54-  9"||250.0|17.2080|6.2675
59921|79.6413|35.7017|49.3194|48.3047|-18.82|28.20|0.44||-2|7326|7326|3177|3695|5470|"MCG  9-28- 30"||586.0|17.2274|52.4431
59924|90.6045|34.9557|41.9002|41.0382|-17.72|7.75|1.00|||4017|4017|2255|2023|2637|"MCG 10-24-121"||513|17.2555|61.4108
59927|68.9271|35.2898|58.5638|54.8978|-20.53|30.16|0.66|42|1|8591|8591|2577|4215|7028|"NGC    6332"||587.0|17.2254|43.7147
59938|68.4811|35.2164|58.9761|55.1846|-19.81|16.94|0.52|||8781|8781|2584|4296|7209|"MCG  7-35- 55"||587.0|17.2286|43.3447
59945|85.7324|35.4028|44.9755|44.3475|-19.72|24.28|||-5|10578|10578|5351|5347|7394|"NGC    6345"||583.0|17.2423|57.4053
59946|85.6973|35.4035|44.9966|44.3718|-19.48|5.78|1.00||5|9052|9052|4576|4575|6330|"NGC    6346"||585.0|17.2425|57.3767
59947|85.8060|35.4004|44.9302|44.2970|-21.20|37.40|0.68|15|-3|8462|8462|4288|4277|5910|"NGC    6338"||585.0|17.2422|57.4653
59948|67.0022|35.0436|60.4815|56.0623|-20.06|28.78|||-5|8540|8540|2349|4149|7085|"MCG  7-35- 56"||587.0|17.2315|42.1233
59951|53.7382|33.0031|78.3114|62.6680|-19.54|14.24|1.00|||8872|8872|825|3989|7881|"MCG  5-41-  4"|||17.2261|30.9514
59959|315.2147|-21.5174|201.2063|-4.3099|-18.50|26.56|0.19|165|3|3082|3082|-2865|-1112|-232|"IC     4635"||150.0|17.1339|-77.4314
59961|52.0374|32.5705|81.1930|63.3920|-19.54|37.35|0.38|160|2|8850|8850|607|3917|7913|"NGC    6330"|||17.2299|29.4583
59966|80.1985|35.5491|48.7301|48.0327|-20.20|25.47|0.79||5|9566|9566|4220|4808|7112|"MCG  9-28- 31"||585.0|17.2439|52.8969
59970|28.0857|24.2984|133.7627|64.2035|-18.88|23.53|0.85||1|6860|6860|-2065|2156|6176|"UGC   10775"||250.0|17.2275|6.8950
59971|104.8902|32.6571|34.4144|30.5815|-17.60|5.82|0.60|15|0|1446|1619|1150|788|824|"UGC   10803"||44.0|17.2867|73.4892
59973|69.4457|35.1233|57.8140|54.7538|-19.56|19.26|0.72|||9105|9105|2799|4447|7436|"CGCG 225- 88"||587.0|17.2448|44.1192
59974|54.8189|33.0683|76.4516|62.3702|-19.57|19.36|0.38|65|6|7103|7103|772|3202|6293|"UGC   10781"||587.0|17.2385|31.8456
59976|69.1488|35.0851|58.0937|54.9397|-20.24|23.21|0.71|170|1|8322|8322|2527|4058|6812|"NGC    6336"||587.0|17.2460|43.8736
59979|27.8495|24.1024|134.4268|64.1679|-19.40|19.32|0.79||-3|6616|6616|-2018|2059|5955|"UGC   10778"||250.0|17.2327|6.6139
59984|68.5728|35.0049|58.6403|55.3017|-19.24|18.35|0.45|||8094|8094|2398|3935|6654|"MCG  7-35- 58"||587.0|17.2487|43.3961
59987|27.7415|24.0139|134.7277|64.1497|-19.47|37.02|0.43|70|3|7129|7129|-2187|2209|6416|"UGC   10779"||250.0|17.2348|6.4858
59990|12.2466|15.6796|161.8182|54.3353|-18.10|14.83|0.62|||5319|5319|-2946|968|4321|IRAS17138-1017|||17.2307|-10.2833
59992|319.2810|-19.4296|199.5500|-0.2785|-19.36|20.21|0.50|79|1|5013|5013|-4724|-1677|-24|"ESO   44-  9"||115.0|17.1742|-73.0908
59996|29.4930|24.7614|130.9563|64.8328|-18.84|15.64||||6731|6731|-1876|2162|6092|"CGCG  54- 17"||250.0|17.2383|8.2467
59997|91.2719|34.7779|41.3801|40.6180|-17.80|15.29|0.76|20|4|3304|3304|1882|1658|2151|"UGC   10796"||513.0|17.2718|61.9747
60000|43.4407|29.9851|98.4068|66.0477|-20.09|21.54|0.47|37|4|8667|8667|-514|3481|7921|"UGC   10787"||568.0|17.2461|21.6756
60001|328.4905|-14.0492|195.3825|9.1630|-18.62|11.90|0.62|118|4|995|832|-792|-218|132|"NGC    6300"|349|19.0|17.2047|-62.7650
60003|65.5709|34.5818|61.7216|57.1244|-18.25|20.72|0.59|10|6|2293|2460|633|1176|2066|"NGC    6339"|1309|72.1|17.2582|40.8972
60006|29.1085|24.4485|132.0552|64.7952|-18.89|24.44|0.46|53||6649|6649|-1897|2103|6016|"CGCG  54- 18"||250.0|17.2468|7.7942
60008|65.2565|34.5168|62.0467|57.3251|-19.73|16.46|1.00|||9143|9143|2314|4360|7696|"MCG  7-35- 61"||587.0|17.2607|40.6317
60010|65.8258|34.5814|61.4054|57.0040|-19.94|27.08|1.00|||8459|8459|2205|4045|7095|"NGC    6343"||587.0|17.2609|41.1050
60011|29.0888|24.3814|132.1994|64.8278|-18.73|14.81||||6688|6688|-1911|2108|6053|"CGCG  54- 19"||250.0|17.2501|7.7481
60013|29.0723|24.3371|132.2999|64.8470|-18.99|12.97|0.72|||6881|6881|-1968|2163|6228|"CGCG  54- 20"||250.0|17.2523|7.7147
60015|75.0476|35.1940|52.4153|51.5124|-19.24|20.01|0.36|153||7515|7515|2853|3706|5882|"CGCG 252- 36"||586.0|17.2716|48.6906
60020|65.4140|34.4436|61.7718|57.3117|-19.15|14.63|0.60|||8507|8507|2173|4048|7160|"CGCG 225- 97"||587.0|17.2686|40.7494
60025|91.0819|34.6693|41.3365|40.8054|-18.95|11.55|0.72|145|-3|3143|3143|1786|1571|2054|"NGC    6359"||513.0|17.2895|61.8314
60027|74.8415|35.1340|52.5260|51.6776|-19.50|21.75||||8692|8692|3279|4278|6819|"CGCG 252- 37"||587.0|17.2768|48.5192
60028|56.7144|33.0538|73.2111|61.8908|-18.78|15.18||||4753|4753|647|2144|4192|"CGCG 198- 32"||205.0|17.2692|33.3861
60029|331.7217|-12.1628|193.9976|12.5707|-18.67|11.78|0.63|133|-3|2669|2376|-2251|-561|517|"NGC    6305"|1112|61.0|17.2283|-59.1000
60030|77.0169|35.1827|50.7310|50.3031|-19.96|27.37||||10267|10267|4151|5077|7900|"MCG  8-31- 39"|||17.2797|50.2981
60032|332.8576|-11.4349|193.4479|13.7871|-18.06|10.60|0.47||9|990|1000|-944|-225|238||-1|19.0|17.2302|-57.7711
60040|89.6281|34.7225|42.0861|41.8612|-16.62|6.71|0.45|22||4086|4086|2258|2039|2726|||513.0|17.2983|60.6367
60043|86.6509|34.9055|43.8546|43.9421|-19.89|41.84|0.29|93|2|8836|8836|4588|4408|6131|"UGC   10811"||585.0|17.2987|58.1856
60045|89.6421|34.7012|42.0537|41.8602|-19.13|25.80|0.29|54|4|4039|4039|2234|2015|2695|"NGC    6361"||513.0|17.3011|60.6500
60051|41.3699|28.8289|103.4350|66.7876|-18.60|17.60|0.19|105|4|6311|6311|-578|2419|5800|"UGC   10798"||250.0|17.2779|19.5800
60052|76.5780|35.0394|50.9198|50.6705|-16.79|8.39|0.44|77|8|1122|1376|550|677|1064|"UGC   10806"|832|44.0|17.2932|49.9342
60054|79.9145|35.0780|48.3653|48.4983|-19.92|25.60|0.46|110||9393|9393|4135|4652|7035|"NGC    6358"||585.0|17.2959|52.6653
60067|75.4785|34.9437|51.7387|51.4158|-18.86|23.82|0.89||-5|7440|7440|2873|3643|5816|"MCG  8-31- 41"||586.0|17.2989|49.0300
60070|75.5544|34.9243|51.6496|51.3818|-19.44|23.07|0.48|17|3|7372|7372|2855|3608|5760|"UGC   10814"||586.0|17.3010|49.0911
60074|65.7396|34.1504|61.0513|57.3966|-19.85|29.57|0.45|125|3|9024|9024|2354|4255|7602|"UGC   10812"||587.0|17.2978|40.9725
60075|119.5197|28.3573|27.8401|18.6867|-20.24|28.36|0.60||6|8077|8077|6766|3573|2588|"MCG 14- 8- 24"|||17.6106|86.7783
60077|73.9265|34.8277|52.9882|52.4359|-18.40|11.38|0.87||4|5256|5256|1929|2559|4166|"MCG  8-31- 44"||513.5|17.3027|47.7522
60079|32.8307|25.4259|124.4509|66.3722|-18.57|19.04|1.00||-2|6519|6519|-1478|2155|5972|"UGC   10802"||250.0|17.2868|11.2572
60083|47.3266|30.3771|90.0668|65.9294|-17.47|16.22|0.36|||4312|4312|-2|1759|3937|"UGC   10809"||205.0|17.2992|24.9772
60084|36.1074|26.6653|116.5321|67.0007|-15.80|8.16|0.91||8|1689|1683|-294|588|1549|"UGC   10805"|1261|71.0|17.2931|14.4500
60085|315.4558|-21.6678|201.3766|-4.1000|-17.25|11.67|0.21|129|6|2595|2354|-2187|-856|-168|"ESO   44- 10"||55.0|17.2078|-77.3117
60086|38.4516|27.5348|110.7393|67.1575|-19.41|21.54|0.55|100|4|6280|6280|-863|2280|5787|"NGC    6347"||250.0|17.2947|16.7106
60089|89.0791|34.5912|42.1979|42.3241|-19.06|18.64|0.49|56|2|6840|6840|3747|3397|4605|"UGC   10819"||513.0|17.3212|60.1978
60092|331.0043|-12.9254|194.6503|11.7552|-19.08|11.98|0.56|85|5|4397|4397|-4165|-1089|896|"ESO  138- 21"||100.0|17.2611|-60.1050
60094|46.1491|29.9960|92.6309|66.2961|-18.90|10.68|1.00|||4398|4398|-81|1766|4027|"UGC   10813"||205.0|17.3018|23.8903
60101|92.0098|34.2793|40.4546|40.2687|-16.01|1.34|1.00|||1274|1483|861|734|958|"CGCG 300- 14"||44.0|17.3333|62.6333
60103|77.1889|34.7930|50.1185|50.4415|-19.05|14.47|0.68|||7502|7502|3064|3666|5784|"MCG  8-31- 46"||586.0|17.3208|50.4250
60105|79.9484|34.8310|48.0389|48.6212|-19.39|32.58|0.76|120|3|9498|9498|4198|4669|7127|"UGC   10821"||585.0|17.3229|52.6908
60106|47.3468|30.1916|90.0496|66.1284|-17.86|9.75|1.00|||4400|4400|-1|1781|4024|"CGCG 140- 11"||205.0|17.3128|24.9344
60118|69.3300|34.1805|56.8648|55.5307|-18.50|7.05|0.89||6|4933|4933|1526|2338|4067|"MCG  7-36-  4"||513.5|17.3307|43.9208
60122|326.7064|-15.7324|196.7961|7.2014|-19.16|21.64|0.76|77|6|4264|4264|-4050|-1222|535|"ESO  102-  2"||100.0|17.2786|-65.1250
60124|107.5300|31.6785|32.7793|28.5993|-16.73|6.04|0.25|170|5|1433|1606|1185|763|769|"IC     4660"||44.0|17.3926|75.8925
60137|87.7997|34.4021|42.6226|43.3491|-16.96|5.90|0.89||6|2756|2791|1493|1374|1916|"MCG 10-25- 11"||513.0|17.3558|59.1589
60138|91.4715|34.0623|40.4309|40.7638|-19.08|22.50|0.38||5|8256|8256|4760|4055|5391|"NGC    6365A"||585|17.3708|62.2114
60144|28.6489|22.8204|135.6313|65.5534|-18.96|26.14|0.68||-5|7111|7111|-2104|2058|6473|"CGCG  54- 24"||250.0|17.3318|6.6844
60145|87.7530|34.3691|42.6307|43.3709|-19.24|25.52|0.19|33|5|9152|9152|4895|4506|6284|"MCG 10-25- 12"||585.0|17.3603|59.1236
60157|23.2743|20.1264|147.1359|62.8470|-19.35|25.98|0.56|95|5|8897|8897|-3411|2204|7916|"UGC   10825"||257.0|17.3338|1.0044
60161|331.7398|-12.8396|194.6844|12.4766|-17.07|6.65|0.26|113|3|2500|2276|-2150|-563|492|"ESO  138- 22"||61.0|17.3032|-59.4572
60164|66.0575|33.5788|60.0265|57.7032|-20.29|29.12|0.81|140|-5|9096|9096|2428|4210|7689|"NGC    6363"||587.0|17.3511|41.1475
60170|74.5607|34.3262|51.8036|52.3905|-18.33|17.07|0.22||5|5333|5333|2013|2558|4225|"MCG  8-32-  1"||513.5|17.3562|48.2381
60176|89.3981|34.2073|41.5750|42.2579|-19.34|20.48|0.43|97|3|6397|6397|3542|3142|4302|"UGC   10830"||513.0|17.3701|60.4892
60181|34.9428|25.3356|120.6203|67.5765|-18.28|13.36|0.52|||6318|6318|-1227|2074|5840|"CGCG  82- 24"||250.0|17.3469|12.9525
60182|93.5519|33.8214|39.2581|39.2704|-19.13|10.02|0.71||2|8424|8424|5050|4127|5332|"CGCG 321- 17"||585.0|17.3808|63.9528
60192|85.2026|34.3362|43.9842|45.2596|-20.43|32.85|0.91|109|-5|8340|8340|4224|4077|5924|"NGC    6370"||585.0|17.3758|57.0203
60197|327.0117|-15.8050|196.9133|7.4808|-18.44|9.77|0.60|||4214|4214|-3997|-1215|549|||100.0|17.3128|-64.9133
60198|326.9675|-15.8311|196.9329|7.4347|-20.02|25.28|0.58|157|1|4144|4144|-3931|-1197|536|"NGC    6328"||100.0|17.3128|-64.9633
60200|79.1895|34.3420|47.9988|49.4141|-19.69|21.08|0.85||6|7386|7386|3216|3571|5609|"UGC   10839"||586.0|17.3749|52.0558
60203|49.3460|30.0455|85.7581|66.2018|-19.47|22.64|0.71|97|4|4891|4891|146|1968|4475|"IC     1256"||205.0|17.3629|26.5325
60207|74.9225|34.1489|51.2616|52.2845|-18.09|17.17|0.21|88|3|5240|5240|2006|2500|4145|"UGC   10838"||513.5|17.3762|48.5236
60208|331.4007|-13.2373|195.0296|12.0848|-20.08|22.89|0.69|0|5|3121|3121|-2947|-791|653|"IC     4646"||101.0|17.3240|-59.9500
60209|312.9553|-23.0745|202.5962|-6.5189|-17.86|18.06|0.89||5|4692|4692|-4304|-1791|-533|"IC     4640"||115.0|17.2522|-80.0150
60213|43.5671|28.2635|98.8460|67.7533|-18.57|15.81|0.36||5|6818|6818|-397|2551|6310|"CGCG 140- 18"||250.0|17.3643|21.1819
60214|79.1266|34.2854|47.9760|49.4895|-19.35|31.26|0.17|69|2|9324|9324|4055|4499|7089|"UGC   10843"||585.0|17.3810|52.0022
60216|331.9509|-12.9338|194.8147|12.6638|-17.78|11.59|0.29|54|4|2774|2504|-2362|-625|549|"ESO  138- 24"|1112|61.0|17.3283|-59.3350
60220|87.6393|34.1445|42.3924|43.5857|-18.29|13.53|0.76|90|7|3516|3516|1881|1717|2424|"NGC    6373"||513.0|17.3901|59.0406
60221|312.8787|-23.1194|202.6363|-6.5924|-19.77|21.85|0.93||4|5177|5177|-4747|-1979|-594|"IC     4641"||115.0|17.2550|-80.0983
60222|68.8998|33.6243|56.6946|56.1848|-16.94|5.36|0.45||5|2342|2418|739|1125|2009|"MCG  7-36-  7"||72.1|17.3775|43.4972
60224|47.7536|29.4158|89.1482|66.9013|-18.02|14.07|0.85||6|4396|4396|26|1725|4044|"UGC   10831"||205.0|17.3751|25.0222
60226|70.6814|33.7570|54.9064|55.0909|-20.55|26.39|0.95||5|8434|8434|2775|3949|6916|"UGC   10845"||587.0|17.3822|44.9847
60227|103.2465|32.3560|34.4523|31.9997|-19.31|12.78|0.81|||7964|7964|5569|3821|4220|"MCG 12-16- 37"||585.0|17.4206|72.2000
60228|52.6196|30.7360|79.2381|65.0919|-19.87|30.99|0.81|5|-3|7011|7011|551|2901|6359|"NGC    6364"||587.0|17.3753|29.4347
60230|85.1163|34.1915|43.8566|45.3937|-19.36|21.27|0.85|||9385|9385|4752|4566|6682|"MCG  9-28- 45"||585.0|17.3939|56.9528
60232|42.8313|27.8821|100.7673|68.0124|-19.13|18.22|0.65|95|4|6241|6241|-436|2296|5787|"UGC   10834"||250.0|17.3733|20.4389
60233|322.0654|-18.6410|199.0577|2.4018|-19.83|32.04|0.44|163|2|7950|7950|-7508|-2593|333|"ESO   70-  9"||109.0|17.3153|-70.4231
60234|318.8476|-20.3065|200.3424|-0.8117|-18.67|22.53|0.22|134|4|4649|4649|-4359|-1616|-66|"IC     4644"||115.0|17.3040|-73.8833
60236|74.7755|34.0145|51.2278|52.4646|-19.39|16.36|0.76|||8880|8880|3388|4218|7042|"CGCG 253-  8"||587.0|17.3887|48.3922
60237|71.3474|33.7680|54.2257|54.6992|-19.22|16.96|0.87||1|8789|8789|2969|4121|7173|"CGCG 253-  7"||587.0|17.3869|45.5361
60238|47.7616|29.3700|89.1284|66.9470|-19.60|44.14|0.50|145|3|8308|8308|50|3253|7644|"UGC   10837"||568.0|17.3785|25.0142
60240|46.4298|28.9550|92.1364|67.3476|-19.71|28.02|0.81||-5|8358|8358|-120|3217|7713|"UGC   10840"||568.0|17.3795|23.7794
60243|71.3075|33.7365|54.2287|54.7449|-20.13|26.00|0.65|28|-5|8504|8504|2869|3983|6944|"MCG  8-32-  5"||587.0|17.3896|45.4997
60251|62.2232|32.5435|64.0973|60.3520|-19.89|19.69|0.81|||8107|8107|1752|3607|7046|"NGC    6367"||587.0|17.3907|37.8028
60258|87.4122|34.0030|42.3392|43.8179|-19.64|15.77|0.50|174|4|8758|8758|4671|4256|6064|"NGC    6376"||585.0|17.4096|58.8592
60259|46.0179|28.7156|93.1089|67.5679|-18.12|11.36|0.54|150|6|4074|4074|-84|1552|3766|"UGC   10847"||205.0|17.3870|23.3594
60260|88.8607|33.9284|41.5008|42.7803|-19.12|13.48|0.81|||8398|8398|4616|4084|5704|"MCG 10-25- 27"||585.0|17.4115|60.0628
60261|32.5773|23.7270|127.6933|67.5249|-18.80|19.74|0.51|67|-2|6919|6919|-1617|2093|6393|"UGC   10844"||250.0|17.3843|10.3219
60263|99.3562|32.8888|36.1194|35.0142|-19.87|26.17||||11860|11860|7847|5726|6805|"CGCG 339- 41"||585.7|17.4286|68.8808
60264|87.4188|33.9943|42.3250|43.8171|-19.18|15.18|0.45|115|3|8630|8630|4604|4193|5975|"NGC    6377"||585.0|17.4107|58.8650
60269|43.3266|27.7959|99.6625|68.1842|-19.04|17.89|0.51|10|5|6718|6718|-419|2461|6237|"UGC   10849"||250.0|17.3902|20.8172
60277|109.5463|30.9632|31.6414|27.0290|-15.97|6.75|0.15|124|6|2031|1880|1426|879|854|"UGC   10887"||44.0|17.4773|77.7350
60279|64.0823|32.6631|61.5959|59.4076|-19.39|18.70|0.51|||8064|8064|1952|3610|6941|"CGCG 226- 15"||587.0|17.4058|39.3633
60280|312.8701|-23.2122|202.7289|-6.6068|-17.87|21.34|0.47|3|-2|4719|4719|-4324|-1811|-543|"IC     4647"||115.0|17.2856|-80.1481
60281|81.0408|34.0131|46.2487|48.3514|-18.27|29.40|0.17|||8975|8975|4125|4308|6706|"UGC   10857"||585.0|17.4156|53.5786
60287|91.4050|33.6568|39.9704|40.9786|-19.17|30.14|0.18|105|5|8586|8586|4968|4164|5630|"UGC   10863"||585.0|17.4294|62.1906
60290|331.8081|-13.3687|195.2301|12.4537|-19.43|10.56|0.51|10|3|3890|3890|-3666|-998|839|IC4652||101.0|17.3667|-59.6850
60291|101.9720|32.3995|34.8209|33.0311|-18.02|10.47|0.31|15|6|1359|1461|1005|699|796|"NGC    6395"|817|44.0|17.4528|71.1336
60292|331.3382|-13.6686|195.4540|11.9530|-20.38|28.96|0.60|3|1|6404|6404|-6039|-1669|1326|"ESO  138- 26"||108.0|17.3683|-60.2314
60296|36.3438|24.9519|118.3536|68.5842|-18.74|16.35|0.87||1|7048|7048|-1222|2265|6561|"CGCG  82- 31"||250.0|17.4067|13.9508
60297|331.6484|-13.5064|195.3423|12.2774|-20.28|18.35|0.76||4|6140|6140|-5786|-1587|1306|"ESO  138- 27"||108.0|17.3713|-59.8897
60307|38.9187|25.8544|111.5180|68.8641|-18.78|13.41|0.72|||6197|6197|-820|2079|5780|"CGCG 111- 37"||250.0|17.4137|16.4436
60310|62.4167|32.1866|63.4376|60.5718|-19.11|7.72|1.00|||7981|7981|1754|3507|6951|"MCG  6-38- 22"||587.0|17.4229|37.8925
60311|330.8389|-14.0380|195.7435|11.4134|-17.82|6.57|0.62|52|1|1816|1708|-1611|-454|338|"IC     4653"|1063|61.0|17.3764|-60.8381
60315|34.0285|23.8699|124.7437|68.2679|-18.52|30.84|0.26|42|3|2895|2778|-586|845|2581|"NGC    6368"|1310|73.0|17.4142|11.5836
60320|86.9992|33.7625|42.2645|44.2333|-20.15|21.11|0.83|65|1|8113|8113|4302|3910|5659|"IC     1258"||585.0|17.4420|58.5256
60321|88.8349|33.6860|41.2169|42.9063|-17.90|15.30|0.74|25|6|3462|3462|1908|1671|2357|"NGC    6381"||513.0|17.4440|60.0542
60322|49.6424|29.2918|84.9375|66.9283|-18.89|14.91|0.45||5|6578|6578|228|2568|6052|"NGC    6371"||250.0|17.4221|26.5458
60323|87.0359|33.7430|42.2206|44.2154|-19.59|22.59|0.68|133|-3|8682|8682|4608|4181|6054|"MCG 10-25- 37A"||585.0|17.4443|58.5567
60326|43.8522|27.5034|98.5608|68.5548|-19.20|17.59|0.62|||8128|8128|-442|2939|7565|"CGCG 140- 26"||568.0|17.4215|21.1483
60328|88.3780|33.6966|41.4601|43.2427|-18.28|9.15|0.62||3|5701|5701|3112|2750|3906|"MCG 10-25- 43"||513.0|17.4449|59.6739
60329|88.3899|33.6958|41.4529|43.2341|-19.26|19.33|1.00||3|8529|8529|4657|4114|5842|||585.0|17.4448|59.6839
60330|49.6236|29.2418|84.9664|66.9797|-19.79|24.91|0.66|90|5|4909|4909|168|1912|4518|"NGC    6372"||205.0|17.4253|26.5147
60331|56.0833|30.8526|72.6512|64.1420|-18.18|10.08|0.72|||4659|4659|606|1940|4192|"CGCG 170- 32"||205.0|17.4285|32.3325
60337|327.6006|-15.9779|197.1740|8.0136|-19.73|27.74|0.33|21|4|7206|7206|-6818|-2107|1005|"ESO  102-  5"||108.0|17.3817|-64.5183
60338|98.8093|32.7365|36.1074|35.4983|-18.98|16.77||||7867|7867|5175|3774|4568|"CGCG 321- 18"||585.0|17.4683|68.4483
60339|88.9286|33.6076|41.0740|42.8706|-19.16|19.88|0.76||-5|8570|8570|4735|4127|5830|"MCG 10-25- 45"||585.0|17.4538|60.1358
60340|29.1647|21.5251|137.3841|66.7383|-18.58|19.09|0.19|102|0|6539|6539|-1900|1749|6007|"UGC   10860"||250.0|17.4236|6.5233
60342|85.0526|33.7261|43.3174|45.6707|-19.55|22.71|1.00|||8931|8931|4541|4281|6389|"NGC    6382"||585.0|17.4508|56.9081
60343|85.8365|33.6960|42.8269|45.1162|-19.03|13.68|1.00||1|3555|3555|1840|1705|2519|"NGC    6385"||513.0|17.4533|57.5606
60346|30.1037|21.8802|135.2695|67.1884|-16.36|15.36|0.91||5|1809|1867|-514|509|1721|"UGC   10862"|1260|73.0|17.4288|7.4622
60349|36.7808|24.6915|117.7848|69.0117|-18.10|9.01|0.45|175|1|3016|3016|-504|956|2816|"UGC   10864"||73.0|17.4340|14.2072
60352|33.9751|23.5220|125.4367|68.5092|-18.69|14.51||||6573|6573|-1396|1962|6116|"CGCG  82- 33"||250.0|17.4340|11.3919
60353|89.9380|33.5025|40.4558|42.1557|-17.45|11.09|0.72|75|9|3885|3885|2191|1869|2607|"UGC   10880"||513.0|17.4623|60.9814
60355|85.8639|33.6473|42.7508|45.1197|-20.21|6.41|0.72|||8737|8737|4527|4185|6191|"NGC    6387"||585.0|17.4594|57.5842
60356|88.9218|33.5343|40.9874|42.9076|-17.75|15.67|0.22|8|5|3387|3387|1873|1627|2306|"NGC    6390"||513.0|17.4638|60.1336
60358|87.4273|33.5487|41.7712|44.0159|-19.62|23.10|||-5|8413|8413|4512|4030|5846|"NGC    6391"||585.0|17.4679|58.8883
60359|85.3820|33.6267|43.0014|45.4807|-19.23|13.54|0.81|||8438|8438|4327|4035|6016|"MCG 10-25- 46"||585.0|17.4627|57.1833
60367|80.0729|33.5661|46.3763|49.2678|-19.42|20.86|1.00||3|7311|7311|3291|3453|5540|"NGC    6386"||586.0|17.4625|52.7611
60373|29.1527|21.2001|138.0538|66.9289|-18.85|29.20|0.15||9|6457|6457|-1882|1692|5941|"UGC   10868"||250.0|17.4428|6.3661
60375|36.9844|24.5908|117.4808|69.1924|-17.08|6.49||||3133|3133|-514|987|2929|"CGCG  82- 35"||73.0|17.4457|14.3356
60377|45.4700|27.6141|94.6245|68.6296|-19.01|15.39|0.44|||7976|7976|-234|2897|7428|"MCG  4-41- 17"||568.0|17.4501|22.5306
60379|329.5778|-15.0456|196.5502|10.0433|-20.51|35.94|0.60|50|-1|4529|4529|-4275|-1270|790|"ESO  138- 29"||100.0|17.4081|-62.4047
60382|79.4348|33.4848|46.7427|49.7505|-19.12|21.34|0.25|98|0|7307|7307|3235|3438|5577|"UGC   10883"||586.0|17.4687|52.2261
60383|38.9020|25.2710|112.2286|69.3900|-18.71|22.25|0.16|4|4|6052|6052|-806|1972|5665|"UGC   10873"||250.0|17.4504|16.2014
60384|38.9567|25.2668|112.1054|69.4143|-19.66|31.35|0.95|95|-5|6323|6323|-837|2060|5919|"NGC    6375"||250.0|17.4520|16.2453
60388|48.0500|28.3393|88.4041|67.9713|-18.46|11.39|0.89|||4480|4480|47|1680|4153|"MCG  4-41- 18"||205.0|17.4561|24.9203
60391|328.1776|-15.8703|197.1548|8.5786|-20.06|13.32|0.71|112|5|5238|5238|-4949|-1527|781|"ESO  102-  7"||100.0|17.4108|-63.9861
60393|107.2328|31.2438|32.3469|28.9302|-18.67|11.34|0.98||5|1524|1582|1170|741|765|"NGC    6412"|819|44.0|17.5230|75.7406
60397|109.1495|30.8359|31.5628|27.3858|-16.05|6.24|0.41|46|4|2011|1860|1407|864|856|"UGC   10907"||44.0|17.5394|77.4317
60401|48.0926|28.2307|88.2945|68.0786|-18.83|11.87|0.83|100|6|4357|4357|48|1626|4042|"UGC   10879"||205.0|17.4647|24.9203
